,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
275,Koumac,NC,1616150721,-20.5667,164.2833,25.52,81,100,2.59
276,Tabas,IR,1616150722,33.5959,56.9244,31.34,10,15,9.26
277,Taltal,CL,1616150722,-25.4,-70.4833,17.92,85,95,0.75
278,Chicama,PE,1616150723,-7.8447,-79.1469,21.78,75,100,1.58
279,Maceió,BR,1616150724,-9.6658,-35.7353,25.0,88,40,1.54
280,Haines Junction,CA,1616150656,60.7522,-137.5108,-11.0,67,100,7.2
281,Lebu,CL,1616150725,-37.6167,-73.65,10.96,89,0,1.72
282,Djibouti,DJ,1616150726,11.5,42.5,30.11,35,63,6.17
283,Alta Floresta,BR,1616150726,-9.8756,-56.0861,20.79,99,100,1.87
284,Necochea,AR,1616150727,-38.5473,-58.7368,8.89,90,0,2.24
285,Mlowo,TZ,1616150728,-9.0,32.9833,25.34,57,47,1.95
286,Pemangkat,ID,1616150728,1.1667,108.9667,26.84,81,97,2.55
287,Souillac,MU,1616150729,-20.5167,57.5167,30.0,62,40,5.66
288,Manta,EC,1616150730,-0.95,-80.7333,23.91,89,100,1.68
289,Kota Bharu,MY,1616150732,6.1333,102.2386,30.0,66,20,4.63
290,Lüderitz,NA,1616150733,-26.6481,15.1594,22.42,55,44,9.16
291,Road Town,VG,1616150465,18.4167,-64.6167,24.44,80,4,6.26
292,Ürümqi,CN,1616150603,43.801,87.6005,2.0,60,17,3.0
293,Tateyama,JP,1616150734,34.9833,139.8667,13.89,49,42,1.34
294,Egvekinot,RU,1616150735,66.3167,-179.1667,-26.04,68,4,2.56
295,Guérande,FR,1616150736,47.3291,-2.4283,12.22,58,20,8.75
296,Minna,NG,1616150736,9.6139,6.5569,32.0,48,0,3.6
297,Coquimbo,CL,1616150603,-29.9533,-71.3436,13.0,76,20,2.06
298,Bolbec,FR,1616150738,49.5732,0.4734,7.0,65,20,9.26
299,Bjerringbro,DK,1616150738,56.378,9.6607,4.0,60,75,6.17
300,Champerico,GT,1616150739,14.3,-91.9167,17.78,95,1,0.89
301,Severo-Kuril'sk,RU,1616150740,50.6789,156.125,-1.44,93,98,5.83
302,Iqaluit,CA,1616150740,63.7506,-68.5145,-30.0,69,20,7.2
303,Vila Velha,BR,1616150462,-20.3297,-40.2925,26.11,88,20,0.51
304,Santa Rosa,PH,1616150742,14.3122,121.1114,31.0,62,75,3.09
305,Kalininsk,RU,1616150742,51.5,44.4758,-1.26,91,100,4.89
306,Santiago de Cao,PE,1616150743,-7.9589,-79.2392,21.75,81,100,3.71
307,Ikongo,MG,1616150702,-21.8833,47.4333,27.24,77,86,1.91
308,Kitui,KE,1616150744,-1.367,38.0106,29.02,40,95,4.14
309,Te Anau,NZ,1616150745,-45.4167,167.7167,7.77,95,7,1.28
310,Palmerston,AU,1616150746,-12.486,130.9833,28.0,78,75,1.54
311,Ushtobe,KZ,1616150747,45.2514,77.9838,4.3,66,0,5.9
312,Cravo Norte,CO,1616150747,6.3017,-70.2041,25.49,71,90,2.54
313,Kieta,PG,1616150748,-6.2167,155.6333,26.97,78,92,1.41
314,Wajir,KE,1616150749,1.7471,40.0573,35.0,36,40,2.57
315,Walvis Bay,NA,1616150750,-22.9575,14.5053,20.0,80,23,2.24
316,Sibu,MY,1616150750,2.3,111.8167,31.0,58,20,3.09
317,Corrales,US,1616150734,35.2378,-106.6067,6.67,46,21,2.24
318,Meadow Lake,US,1616150706,34.8014,-106.5436,6.11,45,1,3.09
319,Atar,MR,1616150752,20.5169,-13.0499,29.43,12,0,6.28
320,Brigantine,US,1616150753,39.4101,-74.3646,2.22,80,90,7.2
321,Esperance,AU,1616150753,-33.8667,121.9,24.0,53,0,6.17
322,Dingle,PH,1616150754,10.9995,122.6711,26.73,77,48,2.93
323,Chaohu,CN,1616150755,31.6,117.8667,8.89,100,90,3.0
324,Nevers,FR,1616150755,46.9896,3.159,5.0,81,90,7.72
325,Barentu,ER,1616150756,15.1139,37.5928,36.68,10,13,1.58
326,Salalah,OM,1616150757,17.0151,54.0924,31.0,35,0,5.66
327,Visalia,US,1616150627,36.3302,-119.2921,14.44,88,75,0.55
328,Saint-Pierre,RE,1616150758,-21.3393,55.4781,28.33,74,20,12.86
329,Saint Paul Harbor,US,1616150759,57.79,-152.4072,-6.0,42,1,6.17
330,Avera,US,1616150759,33.194,-82.5271,9.0,71,1,4.63
331,Kakonko,TZ,1616150760,-3.2828,30.9642,27.78,54,45,2.07
332,Sirte,LY,1616150761,31.2089,16.5887,22.62,42,65,3.19
333,Vostok,RU,1616150762,46.4856,135.8833,-7.65,96,87,0.78
334,Los Llanos de Aridane,ES,1616150763,28.6585,-17.9182,20.0,68,20,6.17
335,Ardakān,IR,1616150763,32.31,54.0175,30.0,9,20,7.2
336,Guiren,CN,1616150764,33.6697,118.1889,7.07,79,100,2.16
337,Bermejo,AR,1616150765,-32.8833,-68.8,12.0,94,75,1.03
338,Pacific Grove,US,1616150766,36.6177,-121.9166,13.0,94,90,2.06
339,Broome,US,1616150766,42.2506,-75.833,-4.44,53,1,9.26
340,Camaná,PE,1616150767,-16.6228,-72.7111,20.61,86,98,1.07
341,Rujewa,TZ,1616150768,-8.7,34.3833,29.34,49,11,1.7
342,Pevek,RU,1616150768,69.7008,170.3133,-29.26,87,64,0.68
343,Pālang,BD,1616150769,23.2167,90.35,32.0,43,40,4.12
344,Agua Dulce,MX,1616150770,18.1333,-94.1333,22.25,75,95,7.57
345,Salta,AR,1616150771,-24.7859,-65.4117,15.0,94,90,1.03
346,Kibala,TD,1616150771,9.1104,18.3463,36.0,34,0,4.12
347,Katsuura,JP,1616150772,35.1333,140.3,13.33,70,64,0.89
348,Panabá,MX,1616150773,21.2833,-88.2667,21.76,93,22,4.29
349,Kuteynykove,UA,1616150773,47.8123,38.2882,4.97,70,100,2.88
350,Voi,KE,1616150774,-3.3945,38.563,32.49,39,91,3.36
351,Noumea,NC,1616150775,-22.2763,166.4572,24.0,73,0,1.54
352,Fortuna,US,1616150617,40.5982,-124.1573,6.67,100,1,3.09
353,Puerto Ayacucho,VE,1616150776,5.6639,-67.6236,23.04,77,92,2.25
354,Saint Paul,US,1616150777,44.9444,-93.0933,0.0,74,1,2.43
355,Diamantino,BR,1616150778,-14.4086,-56.4461,21.71,97,100,1.95
356,Bellavista,PE,1616150779,-7.0561,-76.5911,20.52,99,100,0.3
357,Vila,PT,1616150779,42.0304,-8.1588,11.11,63,87,7.6
358,Pudozh,RU,1616150780,61.8099,36.5345,-6.19,89,100,3.22
359,Vardø,NO,1616150781,70.3705,31.1107,-6.0,86,20,13.38
360,Sexsmith,CA,1616150781,55.35,-118.786,-3.0,93,75,2.57
361,Kandrian,PG,1616150782,-6.2167,149.55,26.76,83,31,2.12
362,Paamiut,GL,1616150783,61.994,-49.6678,-5.02,62,100,7.58
363,Esim,GH,1616150783,4.8699,-2.2405,29.7,62,99,2.5
364,Bintulu,MY,1616150784,3.1667,113.0333,30.0,70,20,3.09
365,Samarai,PG,1616150785,-10.6167,150.6667,28.52,76,8,3.67
366,Kodīnar,IN,1616150786,20.7903,70.7031,28.94,48,0,7.53
367,Guerrero Negro,MX,1616150773,27.9769,-114.0611,13.12,86,28,3.92
368,Kahului,US,1616150787,20.8947,-156.47,23.0,68,8,6.41
369,Lac du Bonnet,CA,1616150787,50.2536,-96.0612,1.11,99,18,2.68
370,College,US,1616150788,64.8569,-147.8028,-16.11,78,90,0.51
371,Aklavik,CA,1616150789,68.2191,-135.0107,-25.0,77,99,2.57
372,Kuah,MY,1616150789,6.3265,99.8432,31.0,70,20,3.09
373,Ugoofaaru,MV,1616150790,5.6667,73.0,28.65,63,57,3.1
374,Quelimane,MZ,1616150668,-17.8786,36.8883,29.45,71,11,2.35
375,Sur,OM,1616150792,22.5667,59.5289,33.21,29,0,2.84
376,Moree,AU,1616150792,-29.4667,149.85,23.0,56,19,4.12
377,Kerema,PG,1616150793,-7.9631,145.7785,26.65,83,89,2.38
378,Clyde River,CA,1616150794,70.4692,-68.5914,-28.0,69,1,2.57
379,Hornepayne,CA,1616150795,49.2138,-84.7705,-4.61,82,0,4.94
380,Payakumbuh,ID,1616150796,-0.2202,100.6308,24.33,95,100,0.69
381,Pemberton,CA,1616150587,50.3164,-122.8027,5.0,82,75,1.72
382,Miranda,CO,1616150797,3.2499,-76.2281,20.0,94,75,1.03
383,Dzhebariki-Khaya,RU,1616150798,62.2167,135.8,-19.23,88,78,1.52
384,Klyuchevsk,RU,1616150798,57.1216,60.9414,-3.0,80,40,7.0
385,San Vicente,AR,1616150799,-26.6167,-54.1333,18.15,83,19,1.65
386,Ixtapa,MX,1616150800,20.7,-105.2,16.67,87,0,1.36
387,Cap Malheureux,MU,1616150801,-19.9842,57.6142,28.89,64,2,4.02
388,Kabo,CF,1616150802,7.6994,18.629,38.14,28,99,2.29
389,Kamenka,RU,1616150803,51.3223,42.7678,1.11,73,100,4.11
390,Baykit,RU,1616150804,61.67,96.37,-3.82,91,100,4.35
391,Guaratuba,BR,1616150804,-25.8828,-48.5747,22.0,94,90,1.54
392,Pomabamba,PE,1616150806,-8.8333,-77.4667,7.72,90,100,1.75
393,Ouégoa,NC,1616150807,-20.35,164.4333,25.52,82,100,6.04
394,Goundam,ML,1616150807,16.4145,-3.6708,34.29,6,37,5.67
395,Paracuru,BR,1616150808,-3.41,-39.0306,26.0,89,40,2.57
396,Kawalu,ID,1616150708,-7.3817,108.2082,24.29,91,99,1.64
397,Kupang,ID,1616150809,-10.1667,123.5833,27.0,100,75,1.03
398,Kirkwall,GB,1616150810,58.9848,-2.9587,8.0,93,75,7.72
399,Muzaffarabad,PK,1616150811,34.37,73.4711,24.84,32,52,0.54
400,Šibenik,HR,1616150811,43.7272,15.9058,11.0,28,20,3.6
401,Cham,CH,1616150812,47.1821,8.4636,6.11,60,20,1.54
402,Nueva Loja,EC,1616150813,0.0847,-76.8828,20.65,98,97,0.83
403,Sukhobuzimskoye,RU,1616150814,56.5,93.2728,-1.0,51,40,6.0
404,Vao,NC,1616150815,-22.6667,167.4833,24.64,78,98,9.95
405,Tamasopo,MX,1616150815,21.9333,-99.4833,8.45,45,1,1.37
406,Mar del Plata,AR,1616150816,-38.0023,-57.5575,13.33,84,0,1.34
407,Finschhafen,PG,1616150817,-6.6024,147.8681,27.55,79,23,2.84
408,Caravelas,BR,1616150818,-17.7125,-39.2481,27.09,72,100,0.86
409,Kampot,KH,1616150819,10.6167,104.1833,30.0,58,20,3.09
410,Palmares do Sul,BR,1616150819,-30.2578,-50.5097,21.2,74,21,1.52
411,Carutapera,BR,1616150820,-1.195,-46.02,23.96,95,87,2.12
412,Morondava,MG,1616150821,-20.2833,44.2833,29.91,66,37,3.7
413,Baiyin,CN,1616150821,36.5583,104.2081,7.22,41,40,5.0
414,Mashhad,IR,1616150822,36.297,59.6062,21.0,32,75,8.23
415,Gubkinskiy,RU,1616150823,64.434,76.5026,-7.34,95,100,5.83
416,George Town,MY,1616150824,5.4112,100.3354,31.0,45,40,4.63
417,Taseyevo,RU,1616150824,57.2169,94.8978,-3.74,86,100,3.49
418,Baharly,TM,1616150825,38.4362,57.4316,20.29,36,25,6.36
419,Hokitika,NZ,1616150826,-42.7167,170.9667,13.81,92,22,1.58
420,Terrace,CA,1616150707,54.5163,-128.6035,2.0,93,90,4.12
421,Hargeisa,SO,1616150738,9.56,44.065,29.44,28,24,4.05
422,Yurino,RU,1616150827,56.2942,46.3039,-1.0,74,75,4.0
423,Suntar,RU,1616150828,62.1444,117.6319,-6.04,92,100,3.42
424,Damietta,EG,1616150829,31.4165,31.8133,19.0,52,20,3.09
425,Petropavlovsk-Kamchatskiy,RU,1616150829,53.0452,158.6483,1.0,86,75,3.0
426,Oodweyne,SO,1616150831,9.4092,45.064,32.07,22,19,2.79
427,Margate,GB,1616150831,51.3813,1.3862,8.89,58,1,1.79
428,Vanavara,RU,1616150832,60.34,102.2797,-5.63,89,100,3.47
429,Burnie,AU,1616150833,-41.0667,145.9167,16.11,80,11,2.24
430,Tongchuanshi,CN,1616150834,35.0806,109.0897,7.23,62,88,3.17
431,Tuy Hoa,VN,1616150835,13.0833,109.3,24.87,88,0,2.27
432,Rundu,NA,1616150836,-17.9333,19.7667,28.63,47,62,4.28
433,Meulaboh,ID,1616150666,4.1363,96.1285,28.64,73,54,1.07
434,Portoferraio,IT,1616150837,42.8115,10.3146,8.0,57,20,2.06
435,Atlantic City,US,1616150760,39.3643,-74.4229,2.22,80,90,7.2
436,Sungai Raya,ID,1616150838,0.7,108.9,26.83,77,84,2.54
437,Tshikapa,CD,1616150839,-6.4167,20.8,33.55,52,74,0.85
438,Saint-Joseph,RE,1616150839,-21.3667,55.6167,28.33,74,20,12.86
439,Hays,US,1616150840,30.0502,-98.0336,7.22,66,0,4.62
440,Robāţ Karīm,IR,1616150841,35.4846,51.0829,18.0,15,75,7.2
441,Zhigansk,RU,1616150842,66.7697,123.3711,-17.74,94,100,4.99
442,Olafsvik,IS,1616150843,64.8945,-23.7142,5.92,96,100,5.3
443,Caucayá,CO,1616150843,-0.1934,-74.7819,20.89,97,100,0.73
444,Thinadhoo,MV,1616150724,0.5333,72.9333,28.6,70,65,4.1
445,São Filipe,CV,1616150845,14.8961,-24.4956,22.83,68,20,2.49
446,Inhambane,MZ,1616150845,-23.865,35.3833,32.0,58,40,2.06
447,Toamasina,MG,1616150846,-18.1667,49.3833,29.0,84,40,5.14
448,Gongzhuling,CN,1616150847,43.5008,124.8198,5.56,42,94,4.35
449,Santo Ângelo,BR,1616150647,-28.2992,-54.2631,17.09,82,0,6.05
450,Mäntsälä,FI,1616150848,60.6609,25.2838,-4.44,54,20,5.14
451,Erenhot,CN,1616150849,43.6475,111.9767,0.68,82,100,1.91
452,Llata,PE,1616150850,-9.4167,-76.7833,9.85,92,100,0.88
453,Abu Kamal,SY,1616150851,34.4506,40.9171,19.12,36,32,2.79
454,Tashtyp,RU,1616150852,52.7939,89.8983,-1.28,82,79,0.56
455,Plettenberg Bay,ZA,1616150852,-34.0527,23.3716,20.91,70,53,3.13
456,Timmins,CA,1616150588,48.4669,-81.3331,-14.0,78,20,2.57
457,İdil,TR,1616150854,37.3411,41.8895,13.0,54,75,2.06
458,Papar,MY,1616150855,5.7333,115.9333,29.0,79,20,2.57
459,Conceição do Araguaia,BR,1616150856,-8.2578,-49.2647,22.8,94,100,0.65
460,Pekan,MY,1616150857,3.4836,103.3996,31.0,62,20,3.09
461,Fairbanks,US,1616150857,64.8378,-147.7164,-16.11,78,90,0.51
462,Riviere-au-Renard,CA,1616150858,48.9957,-64.3971,-12.0,61,20,4.12
463,Tokmak,UA,1616150859,47.2514,35.7058,6.87,65,100,2.14
464,Tombouctou,ML,1616150859,20.0,-3.0,30.64,9,0,2.81
465,Novikovo,RU,1616150861,51.1537,37.8879,1.35,77,96,3.14
466,Killam,CA,1616150706,52.7834,-111.8518,0.0,80,80,2.57
467,Paoua,CF,1616150862,7.2427,16.4406,34.52,30,94,1.47
468,Talnakh,RU,1616150862,69.4865,88.3972,-25.45,96,100,2.16
469,Ponorogo,ID,1616150863,-7.8685,111.462,25.9,88,99,2.34
470,Kushmurun,KZ,1616150864,52.4503,64.6311,1.75,78,100,6.12
471,Kovūr,IN,1616150865,14.4833,79.9833,31.1,41,86,5.55
472,Kāzerūn,IR,1616150865,29.6195,51.6541,25.52,23,93,3.31
473,Yenagoa,NG,1616150866,4.9247,6.2642,27.15,80,100,3.52
474,Ténenkou,ML,1616150867,14.4572,-4.9169,35.86,5,49,5.12
475,Nabire,ID,1616150867,-3.3667,135.4833,26.11,85,100,0.58
476,Chiang Rai,TH,1616150868,19.9167,99.9167,36.11,36,20,1.54
477,Klyavlino,RU,1616150869,54.2649,52.0267,-0.96,96,100,5.89
478,Torbat-e Jām,IR,1616150869,35.244,60.6225,27.82,17,53,8.47
479,Mossamedes,AO,1616150870,-15.1961,12.1522,25.59,66,65,4.17
480,Havre-St-Pierre,CA,1616150871,50.2334,-63.5986,-15.0,61,1,4.63
481,Pierre,US,1616150829,44.3683,-100.351,0.0,86,1,8.23
482,Strzelce Krajeńskie,PL,1616150872,52.8773,15.5298,6.11,52,99,2.68
483,Eydhafushi,MV,1616150873,5.1033,73.0708,28.69,66,60,3.86
484,Swan River,CA,1616150873,52.1058,-101.2676,3.0,70,0,3.6
485,Dafeng,CN,1616150874,23.4517,108.5881,27.05,64,20,3.42
486,Boa Vista,BR,1616150875,2.8197,-60.6733,24.0,78,0,5.66
487,Puerto Escondido,MX,1616150875,15.85,-97.0667,23.6,65,0,1.81
488,Kragerø,NO,1616150876,58.8693,9.4149,1.67,70,58,2.24
489,Guadalupe y Calvo,MX,1616150877,26.1,-106.9667,4.89,23,0,2.47
490,Carballo,ES,1616150877,43.213,-8.691,12.0,71,40,4.63
491,Quepos,CR,1616150878,9.4236,-84.1652,21.0,78,0,3.09
492,Vysokogornyy,RU,1616150879,50.1167,139.15,-8.87,92,97,0.83
493,Shenkursk,RU,1616150879,62.1091,42.896,-6.49,91,100,3.06
494,Jeremoabo,BR,1616150881,-10.075,-38.4808,25.28,73,48,3.76
495,Talakan,RU,1616150881,50.3167,130.3667,-6.93,89,4,1.83
496,Dolores,AR,1616150882,-36.3132,-57.6792,12.09,69,1,1.04
497,Labuan,MY,1616150883,5.2767,115.2417,29.0,74,20,4.12
498,Kununurra,AU,1616150883,-15.7667,128.7333,23.0,84,75,2.06
499,Bambanglipuro,ID,1616150884,-7.95,110.2833,26.55,81,56,3.29
500,Kathu,TH,1616150885,7.9178,98.3332,31.67,62,20,4.63
501,Selenduma,RU,1616150885,50.9131,106.2406,-7.07,73,82,1.95
502,Vilhena,BR,1616150886,-12.7406,-60.1458,19.81,97,100,1.17
503,Ambatondrazaka,MG,1616150887,-17.8333,48.4167,26.78,63,82,2.06
504,Port Moresby,PG,1616150888,-9.4431,147.1797,25.0,94,75,1.54
505,Betioky,MG,1616150888,-23.7167,44.3833,29.58,55,64,0.84
506,Notodden,NO,1616150889,59.5594,9.2585,2.22,69,75,4.12
507,Tucuruí,BR,1616150890,-3.7661,-49.6725,22.8,98,100,0.85
508,Bac Lieu,VN,1616150891,9.285,105.7244,27.2,78,100,5.35
509,Mitú,CO,1616150891,1.1983,-70.1733,20.96,96,98,0.75
510,Colares,PT,1616150892,38.7992,-9.4469,14.44,35,0,7.2
511,Sabzawār,IR,1616150893,36.2126,57.6819,23.0,28,40,6.17
512,Prince Rupert,CA,1616150893,54.3161,-130.3201,5.0,87,90,1.54
513,Faanui,PF,1616150895,-16.4833,-151.75,27.78,67,1,3.22
514,Muros,ES,1616150895,42.7762,-9.0603,15.0,56,63,5.77
515,Mumford,GH,1616150896,5.2618,-0.759,28.5,67,96,3.86
516,Vicksburg,US,1616150897,32.3526,-90.8779,10.0,76,90,3.6
517,Russell,US,1616150706,32.3502,-85.1999,9.0,66,90,2.57
518,Umm Kaddadah,SD,1616150898,13.6017,26.6876,38.41,8,33,9.62
519,Leh,IN,1616150899,34.1667,77.5833,0.84,46,11,1.37
520,Oistins,BB,1616150900,13.0667,-59.5333,24.0,69,40,6.69
521,Garoowe,SO,1616150901,8.4054,48.4845,34.23,21,20,3.66
522,Gornyy,RU,1616150901,55.1153,83.9059,-1.11,58,92,0.89
523,Verāval,IN,1616150902,20.9,70.3667,27.64,57,0,6.65
524,Staicele,LV,1616150903,57.8364,24.75,-1.67,57,99,3.58
525,Oriximiná,BR,1616150903,-1.7656,-55.8661,22.88,95,100,0.97
526,Alice Town,BS,1616150904,25.7167,-79.3,24.93,81,0,7.56
527,Grand Gaube,MU,1616150905,-20.0064,57.6608,28.89,64,2,4.02
528,Keetmanshoop,NA,1616150905,-26.5833,18.1333,31.33,19,0,4.36
529,Chinsali,ZM,1616150906,-10.5414,32.0816,25.38,69,31,2.17
530,Bandarbeyla,SO,1616150907,9.4942,50.8122,27.72,59,0,5.18
531,Madang,PG,1616150907,-5.2246,145.7966,25.85,84,80,0.4
532,Olenino,RU,1616150908,56.2092,33.4889,-1.06,71,96,1.88
533,Safi,MA,1616150909,32.2994,-9.2372,17.46,66,18,5.22
534,Auki,SB,1616150910,-8.7676,160.7034,26.09,83,92,1.44
535,Bend,US,1616150909,44.0582,-121.3153,5.0,52,20,2.57
536,Sinnamary,GF,1616150911,5.3833,-52.95,25.04,80,86,3.62
537,Bajah,YE,1616150911,13.8141,44.6301,30.13,20,22,4.74
538,Darhan,MN,1616150913,49.4867,105.9228,-7.82,80,99,1.79
539,Henties Bay,NA,1616150913,-22.116,14.2845,20.0,80,27,2.24
540,Tchaourou,BJ,1616150914,8.8865,2.5975,34.02,42,66,1.79
541,Alugan,PH,1616150915,12.2188,125.4808,27.52,79,17,2.65
542,Portland,US,1616150915,45.5234,-122.6762,9.0,61,75,3.6
543,Jalu,LY,1616150916,29.0331,21.5482,26.08,15,95,10.37
544,Nouakchott,MR,1616150917,18.0858,-15.9785,27.0,18,0,7.2
545,Rome,US,1616150643,43.2128,-75.4557,-5.56,49,1,3.6
546,Rājāpur,IN,1616150918,25.3833,81.15,37.42,12,70,2.31
547,Jaumave,MX,1616150770,23.4167,-99.3833,11.8,48,0,1.07
548,Skjervøy,NO,1616150920,70.0311,20.9714,2.0,60,20,4.12
549,Yarkovo,RU,1616150920,57.4028,67.0786,-0.18,90,100,3.75
550,San Fernando del Valle de Catamarca,AR,1616150921,-28.4696,-65.7852,17.78,83,99,1.79
